date,ticker,horizon,screening_profile,validation_bucket,high_probability_score,calibrated_win_probability,signal_score,point_in_time_universe_member,forward_return_5d,forward_return_20d,forward_return_60d
2025-04-14,BKNG,medium,default,filtered_out,43.85,0.5083,39.5,False,0.0090502260569182,0.154839813417418,0.2567854707922217
2025-04-14,BKNG,long,default,filtered_out,41.62,0.4575,45.12,False,0.0090502260569182,0.154839813417418,0.2567854707922217
2025-05-13,BKNG,short,default,early_watchlist,55.11,0.6744,51.72,False,0.009170639746459,0.0405320410727612,0.0290403469923503
2025-05-13,BKNG,medium,default,early_watchlist,49.73,0.5225,57.56,False,0.009170639746459,0.0405320410727612,0.0290403469923503
2025-05-13,BKNG,long,default,filtered_out,44.36,0.4643,53.48,False,0.009170639746459,0.0405320410727612,0.0290403469923503
2025-06-11,BKNG,short,default,filtered_out,42.96,0.5836,42.01,False,-0.0329328626483819,0.045885026654608,0.0206737627858475
2025-06-11,BKNG,medium,default,early_watchlist,51.93,0.4606,57.17,False,-0.0329328626483819,0.045885026654608,0.0206737627858475
2025-06-11,BKNG,long,default,early_watchlist,52.2,0.3003,59.83,False,-0.0329328626483819,0.045885026654608,0.0206737627858475
2025-07-11,BKNG,short,default,early_watchlist,57.84,0.6142,40.62,False,-0.0024838911109077,-0.0544314921380008,-0.0503576388701976
2025-07-11,BKNG,medium,default,early_watchlist,61.47,0.5636,53.2,False,-0.0024838911109077,-0.0544314921380008,-0.0503576388701976
2025-07-11,BKNG,long,default,early_watchlist,63.99,0.5529,60.0,False,-0.0024838911109077,-0.0544314921380008,-0.0503576388701976
2025-08-08,BKNG,short,default,filtered_out,41.14,0.558,34.86,False,0.0089494104722356,0.0320720239639624,-0.0678330885596046
2025-08-08,BKNG,medium,default,filtered_out,40.76,0.2536,42.37,False,0.0089494104722356,0.0320720239639624,-0.0678330885596046
2025-08-08,BKNG,long,default,early_watchlist,50.27,0.2308,51.39,False,0.0089494104722356,0.0320720239639624,-0.0678330885596046
2025-09-08,BKNG,short,default,filtered_out,41.87,0.5666,36.77,False,-0.0017720320118617,-0.0269008939039616,-0.078034704798773
2025-09-08,BKNG,medium,default,filtered_out,41.08,0.2545,43.53,False,-0.0017720320118617,-0.0269008939039616,-0.078034704798773
2025-09-08,BKNG,long,default,early_watchlist,52.59,0.4496,51.18,False,-0.0017720320118617,-0.0269008939039616,-0.078034704798773
2025-10-06,BKNG,short,default,early_watchlist,45.42,0.5825,36.99,False,-0.0306316661608674,-0.0718319742177713,-0.0100175887766273
2025-10-06,BKNG,medium,default,filtered_out,43.94,0.2694,41.61,False,-0.0306316661608674,-0.0718319742177713,-0.0100175887766273
